project,COM-1,COM-3,POP-4,STA-1,STA-2,STA-4,STA-5,STA-6,STA-7,STA-10,STA-11,STA-12,TEC-1,TEC-2.1,TEC-2.2,TEC-2.3,TEC-2.4,TEC-4,TEC-5,SWQ-1,SWQ-4.1,SWQ-4.2,SWQ-4.3,SWQ-4.4,SWQ-4.5,SWQ-4.6,SWQ-4.7,init,end,frequency(weeks),project_url
Lens,1869857.867993928,9166,218,2014-11-12 08:00:06,156,100,-5,3,False,-15,165,82,0,9843,-1,21413,35949,100,2370,0.03259259259259259,68.34,36,3,5,12,4.490207526139802,185,2014-11-12,2020-06-15,12,https://github.com/apache/Lens
MRUnit,1853120.4706450012,1148,103,2011-03-26 07:00:07,24,27,0,2,True,-1,95,15,0,-1,-1,-1,-1,53,282,0.06936416184971098,143.51,1,0,0,0,21.055959532089787,90,2011-03-26,2016-05-12,12,https://github.com/apache/MRUnit
Lenya,Issues missing,Issues missing,45,2011-12-26 08:00:11,6,9,1,2,True,-2,Commits or Issues or PRs missing,4,0,2091,-1,0,2091,344,12522,Issues missing,8.72,26,0,0,2,27.470004443786106,248,2011-12-26,2023-04-17,12,https://github.com/apache/Lenya
commons-ognl,5530371.727073299,118,199,2013-07-10 07:00:15,-51,43,8,1,False,4,36,10,3,51858,-1,69154,86013,22,885,0.09743589743589744,45.8,33,1,1,8,5.773593466424682,160,2013-07-10,2023-05-25,12,https://github.com/apache/commons-ognl
incubator-Omid,2893201.5451625613,1239,210,2016-04-14 07:00:06,163,54,0,2,False,-8,69,27,5,53800,-1,56780,18547,64,1410,0.01509433962264151,111.48,6,0,0,0,3.3976655495203976,65,2016-04-14,2023-06-15,12,https://github.com/apache/incubator-Omid
Onami,798863.0274423077,0,25,2019-01-25 13:52:00,0,3,PRs missing,1,False,0,Commits or Issues or PRs missing,0,0,PRs missing,PRs missing,PRs missing,PRs missing,6,1506,0.019476567255021303,108.46,6,0,0,2,5.4950577986262354,115,2019-01-25,2015-10-06,12,https://github.com/apache/Onami
Ode,7633592.074445862,2333,152,2009-05-21 02:41:15,110,64,0,3,True,-7,163,22,0,80772,-1,0,61799,86,5571,0.03010295950874925,40.2,16,3,9,26,18.099303654748905,307,2009-05-21,2020-01-14,12,https://github.com/apache/Ode
Oozie,6501156.02723561,27552,1827,2011-09-14 07:00:10,54,475,2,3,False,-1,701,41,0,57898,-1,67413,74623,2628,550,0.0698857994041708,91.72,33,3,7,35,13.170370741985652,381,2011-09-14,2023-04-20,12,https://github.com/apache/Oozie
Lucene.NET,7379545.734388446,5216,4619,2009-03-27 15:41:57,-2,627,43,1,False,1,320,90,4848,29857,78069,31660,11618,694,7709,0.004782745501873623,54.48,0,32,40,195,14.782500204356449,1929,2009-03-27,2023-05-17,12,https://github.com/apache/Lucene.NET
Openmeetings,1515133.3272727274,249,1413,2015-03-13 07:00:05,-36,255,2,1,False,2,41,22,0,83636,-1,17786,26453,115,5843,1.2086490929088557e-05,6.61,43,0,3,16,23.972759647624798,303,2015-03-13,2023-05-24,12,https://github.com/apache/Openmeetings
OpenEJB,12168864.498799697,660,51,2013-01-23 08:00:17,-1,27,11,2,False,1,71,0,0,17354,-1,0,17355,900,23326,0.005834795530294762,45.72,0,21,15,148,23.816161793923,343,2013-01-23,2023-04-18,12,https://github.com/apache/OpenEJB
OpenWebBeans,6652053.028015654,3316,168,2011-01-28 08:00:11,121,58,2,2,False,0,185,28,78,38562,-1,21679,60190,115,4278,0.03379591836734694,82.88,44,0,5,9,5.595082726392456,150,2011-01-28,2023-05-21,12,https://github.com/apache/OpenWebBeans
OpenJPA,5800253.009014613,7805,343,2009-05-21 01:13:25,423,113,0,4,False,-8,647,43,0,63364,359,59492,17401,272,7224,0.04860500025881257,75.74,0,19,46,50,13.06292109169807,511,2009-05-21,2023-06-09,12,https://github.com/apache/OpenJPA
PhotArk,1275150.7811744187,208,26,2010-08-12 03:32:41,39,6,1,1,True,-3,17,5,0,21040,-1,0,21040,3,411,0.011805998723675814,5.97,9,0,0,0,12.169826608329283,84,2010-08-12,2023-02-22,12,https://github.com/apache/PhotArk
Pig,3172178.294230457,5347,1773,2009-05-21 01:10:43,138,459,3,4,True,-5,170,41,0,53004,-1,5364,4913,4627,1660,0.008740992314893432,74.65,0,11,18,64,15.19396460071615,495,2009-05-21,2023-05-19,12,https://github.com/apache/Pig
Pluto,10419532.48007692,618,21,2009-05-21 01:09:18,-1,9,2,3,True,1,61,5,0,17653,-1,0,17654,54,2243,0.03271617227420532,17.17,17,0,0,4,13.57196589769308,134,2009-05-21,2023-04-17,12,https://github.com/apache/Pluto
Pivot,3156522.065824766,2023,99,2011-08-18 07:00:12,67,29,PRs missing,3,False,-7,Commits or Issues or PRs missing,9,0,PRs missing,PRs missing,PRs missing,PRs missing,46,5119,0.00825102829979557,9.34,13,3,15,38,17.68072791673618,346,2011-08-18,2022-08-10,12,https://github.com/apache/Pivot
incubator-retired-Provisionr,2026989.1019736845,87,19,2013-06-12 07:00:18,0,9,PRs missing,1,False,0,Commits or Issues or PRs missing,0,0,PRs missing,PRs missing,PRs missing,PRs missing,26,325,0.0037344398340248964,51.75,2,0,0,0,4.443282801881861,54,2013-06-12,2013-11-25,12,https://github.com/apache/incubator-retired-Provisionr
incubator-retired-Quickstep,2337116.0478026313,1007,242,2016-04-14 07:00:07,271,62,-51,1,False,-26,63,39,0,74708,-1,11347,81980,619,781,0.0023319730157408177,34.42,12,1,9,46,18.41480778357855,405,2016-04-14,2018-11-30,12,https://github.com/apache/incubator-retired-Quickstep
PDFBox,12208080.815552313,49405,4763,2009-09-26 08:00:19,-60,743,2,3,False,0,2157,13,0,12732,-1,34297,24927,274,17979,0.03971932471193068,18.69,22,2,15,51,18.055870997047467,339,2009-09-26,2023-07-02,12,https://github.com/apache/PDFBox
Rave,2451691.2257217956,326,43,2014-03-19 07:00:06,4,13,0,3,False,-2,16,6,0,63923,-1,7140,68270,41,1730,0.045754956786985254,62.78,19,2,1,1,15.676303134155106,60,2014-03-19,2017-05-05,12,https://github.com/apache/Rave
openoffice,12172149.402555559,234,1797,2013-11-13 08:00:13,452,281,2,2,False,-16,98,65,3275,9873,53896,33,56717,441,16157,2.7628456204752646e-06,5.69,0,50,157,570,18.99917754843857,1601,2013-11-13,2023-06-01,12,https://github.com/apache/openoffice
Roller,31519917.800408058,2324,349,2009-05-21 02:42:21,21,119,2,2,False,0,115,30,199,28476,30,70034,63493,319,4803,0.004516492997942523,11.42,36,2,0,16,13.687810805337413,304,2009-05-21,2023-04-26,12,https://github.com/apache/Roller
incubator-S2Graph,893649.1321401881,1164,604,2016-01-08 08:00:06,38,68,-43,1,False,-4,42,16,0,49107,-1,48604,65006,165,1527,0.0031858161922570815,23.31,35,0,0,5,14.618882535680518,147,2016-01-08,2020-05-28,12,https://github.com/apache/incubator-S2Graph
incubator-retired-S4,3399857.8829481476,595,100,2012-01-13 08:00:11,35,18,-2,1,False,-3,54,11,0,-1,-1,-1,49954,163,542,0.0026980439181593344,42.98,2,0,0,0,5.2032201060278815,73,2012-01-13,2022-11-07,12,https://github.com/apache/incubator-retired-S4
Sanselan,Issues missing,Issues missing,91,2009-05-21 01:48:24,19,17,1,1,True,-3,Commits or Issues or PRs missing,7,0,-1,-1,-1,66727,37,291,Issues missing,15.57,31,0,0,19,10.477158153894251,194,2009-05-21,2023-04-14,12,https://github.com/apache/Sanselan
Sentry,2891828.7415288896,8625,323,2016-03-26 07:00:07,93,89,0,7,False,-10,162,26,0,5189,-1,0,31901,55,1694,0.10043420804228809,113.42,41,1,3,5,25.590229972974353,158,2016-03-26,2021-01-20,12,https://github.com/apache/Sentry
ServiceMix,9539576.892152525,6137,451,2014-03-28 07:00:07,134,159,-16,2,True,-6,247,21,18,30841,-1,5677,9395,33,939,0.25401010766864424,21.12,0,0,1,0,30.49464558898521,32,2014-03-28,2023-07-02,12,https://github.com/apache/ServiceMix
Ranger,2793392.8088539923,13258,2334,2014-07-27 07:00:08,52,828,13,7,False,16,863,162,2,79742,21477,41315,52903,211,5842,0.02533570500354829,13.98,0,26,57,140,27.326019183808473,454,2014-07-27,2023-07-06,12,https://github.com/apache/Ranger
Phoenix,2467031.696921266,45734,2952,2014-06-04 07:00:08,347,986,0,4,False,-2,1085,207,1365,70199,83685,25425,27696,157,14211,0.04305345936929065,17.27,0,14,52,194,19.21583250359992,1104,2014-06-04,2023-06-02,12,https://github.com/apache/Phoenix
OFBiz,5252098.81290145,51075,2074,2009-05-20 01:47:56,1372,566,0,3,False,-17,896,43,0,2001,-1,135,69591,232,31770,0.005044068404018232,2.34,0,48,105,243,17.533314811798856,753,2009-05-20,2022-01-10,12,https://github.com/apache/OFBiz
Sirona,137932.09630188678,199,270,2013-10-24 07:00:14,215,54,2,1,True,-3,21,7,0,12452,-1,0,13356,82,826,0.0040941658137154556,15.41,33,1,6,7,3.6090089546838726,154,2013-10-24,2023-05-22,12,https://github.com/apache/Sirona
incubator-retired-Slider,1102097.0148664808,5838,230,2014-05-22 07:00:07,340,76,1,1,False,-5,113,15,0,-1,-1,-1,4634,205,2508,0.0381253035454104,58.08,37,1,7,13,10.035027765912004,260,2014-05-22,2018-07-30,12,https://github.com/apache/incubator-retired-Slider
Qpid,7851327.313252764,30586,338,2009-05-21 03:17:04,1195,86,0,1,True,-17,579,46,0,76379,-1,1525,26908,2838,35301,0.0238118496397289,76.21,24,2,2,12,7.471264367816092,244,2009-05-21,2023-07-07,12,https://github.com/apache/Qpid
SIS,26011868.239548743,989,210,2013-06-11 07:00:15,247,44,0,1,False,1,73,18,0,82511,1703,19917,4324,318,8159,0.0013768808067777267,33.72,0,12,6,55,3.2611152550801292,330,2013-06-11,2023-06-13,12,https://github.com/apache/SIS
stdcxx,6043082.293008385,190,141,2009-03-27 15:41:56,23,27,PRs missing,1,False,-2,Commits or Issues or PRs missing,5,0,PRs missing,PRs missing,PRs missing,PRs missing,39,2914,0.050818598559266535,85.06,36,3,10,16,15.275858512942147,356,2009-03-27,2013-06-13,12,https://github.com/apache/stdcxx
Sqoop,3420640.9166456223,18961,2464,2011-08-04 07:00:07,50,590,0,4,True,-5,823,46,119,23340,-1,73615,75587,309,1977,0.08361275214221087,97.11,30,0,6,16,10.565992220245453,191,2011-08-04,2021-07-05,12,https://github.com/apache/Sqoop
Stanbol,3390509.830874685,4168,299,2010-12-11 08:00:07,281,75,4,4,True,-12,168,24,0,5162,-1,51349,6938,681,6283,0.006625616650462713,27.71,0,10,6,55,21.435558620247278,403,2010-12-11,2023-04-14,12,https://github.com/apache/Stanbol
Streams,12481677.494333964,2638,193,2014-03-18 07:00:06,215,47,-36,1,False,-7,55,30,859,5670,68363,34325,81634,225,1778,0.0011888437818741852,27.54,35,0,2,1,32.0151723024776,112,2014-03-18,2023-04-15,12,https://github.com/apache/Streams
Stratos,2242744.1498368895,2413,432,2014-06-03 07:00:07,181,118,-16,5,False,-23,141,67,0,60896,-1,58614,73520,524,9120,0.011395504117516136,4.07,0,3,37,107,61.64469693279786,438,2014-06-03,2018-07-29,12,https://github.com/apache/Stratos
Synapse,3635608.035487715,2484,157,2009-05-21 01:01:59,346,53,7,4,False,-9,185,43,117,3589,-1,49025,72395,347,13258,0.01423833738669025,18.62,0,8,1,44,12.55453081540038,297,2009-05-21,2023-05-14,12,https://github.com/apache/Synapse
Tajo,1999797.9251477828,14272,376,2014-03-21 07:00:07,229,112,-37,1,True,-5,98,36,1019,61572,0,51258,5507,625,2306,0.027391460117903787,31.22,0,19,17,50,10.729253981559095,427,2014-03-21,2021-03-18,12,https://github.com/apache/Tajo
Tashi,17145295.379666667,13,30,2012-07-11 07:00:13,65,10,0,2,False,-1,7,2,0,31800,-1,0,-1,6,557,0.010778443113772455,0.0,3,1,0,2,12.309175638759442,594,2012-07-11,2014-01-20,12,https://github.com/apache/Tashi
incubator-Tephra,3459915.717818583,1053,117,2016-06-02 07:00:07,24,51,1,5,True,-3,59,24,0,29666,-1,18411,4585,21,488,0.021598670851024553,85.32,32,1,2,1,60.61860691670726,120,2016-06-02,2023-04-17,12,https://github.com/apache/incubator-Tephra
SpamAssassin,Issues missing,Issues missing,550,2009-05-20 01:47:48,387,64,0,4,False,-2,Commits or Issues or PRs missing,17,0,40586,-1,15172,66337,403,39550,Issues missing,0.09,0,13,14,81,16.64227880206809,1556,2009-05-20,2023-06-01,12,https://github.com/apache/SpamAssassin
incubator-retired-Tamaya,4928680.0959913805,2384,123,2014-11-21 08:00:09,373,35,-5,1,False,-10,59,21,0,53970,3294,26590,31226,44,1589,0.012712975098296199,114.62,4,0,0,0,11.222407716564645,64,2014-11-21,2020-11-29,12,https://github.com/apache/incubator-retired-Tamaya
Tez,3482606.1560480352,31354,1241,2013-04-08 07:20:23,157,393,0,3,False,-1,532,88,163,53073,-1,72447,16741,2388,1816,0.08212381016674543,74.49,32,2,15,27,11.217488260394108,331,2013-04-08,2023-07-04,12,https://github.com/apache/Tez
Solr,5710092.868682934,13154,1977,2021-02-23 00:12:42,-66,485,-131,12,False,-7,580,99,11512,15373,85289,81598,10113,25329,43266,0.015771904832776986,67.86,0,13,47,168,16.774976034235294,675,2021-02-23,2023-07-07,12,https://github.com/apache/Solr
myfaces-trinidad,3509566.0565843736,37,18,2017-08-18 08:18:09,12,10,1,2,True,-2,15,4,1,67073,-1,1135,48502,189,5811,0.06274220335855324,315.72,13,2,35,67,20.939115131531235,334,2017-08-18,2022-08-01,12,https://github.com/apache/myfaces-trinidad
myfaces-tobago,21990141.53169619,1364,57,2017-08-18 08:17:41,-93,25,52,1,False,0,48,17,0,76450,32606,1023,39169,346,15975,0.009558733420687965,24.71,34,6,5,13,11.290902553038475,214,2017-08-18,2023-07-05,12,https://github.com/apache/myfaces-tobago
VCL,20357065.423766002,256,42,2017-10-17 07:00:08,1,20,0,2,True,-1,18,9,0,60672,-1,0,29809,14,2814,0.05106289721674337,0.0,22,4,19,53,20.12843191176252,380,2017-10-17,2021-09-14,12,https://github.com/apache/VCL
VXQuery,14976894.828093171,397,72,2015-03-17 07:00:06,42,32,-5,3,True,-5,34,13,0,40143,-1,68079,79696,111,1659,0.010792778649921507,39.18,16,9,2,26,24.185124286681496,355,2015-03-17,2021-02-05,12,https://github.com/apache/VXQuery
incubator-warble-server,Issues missing,Issues missing,4,2018-06-14 13:38:07,0,2,PRs missing,1,False,0,Commits or Issues or PRs missing,0,0,PRs missing,PRs missing,PRs missing,PRs missing,4,80,Issues missing,0.0,8,0,2,1,14.113740141137402,129,2018-06-14,2018-07-01,12,https://github.com/apache/incubator-warble-server
incubator-retired-Wave,5806070.629273417,316,498,2013-12-17 08:00:14,38,90,-1,1,False,-6,46,20,0,72017,-1,46472,70961,89,1065,0.0017048343519137014,38.81,37,2,7,13,5.090168432213242,397,2013-12-17,2018-02-23,12,https://github.com/apache/incubator-retired-Wave
Unomi,49332886.46652315,1777,579,2015-11-24 08:00:05,4,121,26,4,False,4,161,53,415,85868,35732,61236,82988,245,2751,0.014996250937265684,19.46,40,0,3,7,5.274659779477501,159,2015-11-24,2023-06-14,12,https://github.com/apache/Unomi
Whirr,2167756.2674780684,5013,249,2010-08-12 03:32:41,53,59,0,2,True,-2,184,16,0,18383,-1,3420,38749,551,237,0.02645930115128257,66.94,3,0,0,0,11.487964989059082,66,2010-08-12,2015-04-23,12,https://github.com/apache/Whirr
Wink,1860546.8630287203,1593,63,2009-07-10 08:00:18,303,23,4,2,True,-7,119,14,0,64099,-1,13474,56775,43,922,0.01772313587737506,99.24,37,3,0,9,19.619374876098593,338,2009-07-10,2023-04-14,12,https://github.com/apache/Wink
Wookie,4112984.4849207927,46,22,2014-02-03 08:00:07,153,8,3,1,True,-1,7,2,0,51272,-1,0,51273,217,1838,0.0020582831360327464,23.02,38,0,6,7,31.58993306302632,125,2014-02-03,2023-04-14,12,https://github.com/apache/Wookie
XMLBeans,21639629.294130854,913,141,2009-08-06 08:06:50,-12,53,1,2,False,-1,191,9,0,84786,-1,13833,22479,211,1887,0.006789862085652069,141.68,0,16,20,55,9.50915168967001,434,2009-08-06,2023-06-12,12,https://github.com/apache/XMLBeans
Usergrid,6037019.775566318,2875,2420,2013-11-05 08:00:14,378,434,-10,3,True,-18,176,90,0,11983,0,35614,67503,950,10237,0.0009127609192284823,31.89,32,1,24,45,34.117849640114336,184,2013-11-05,2021-10-11,12,https://github.com/apache/Usergrid
ZetaComponents,2735096.7958599995,140,103,2011-03-06 08:00:07,9,15,0,1,False,-2,39,4,0,35688,-1,5013,56099,1334,6522,0.000196336149302734,147.84,11,2,17,55,29.035284446787408,260,2011-03-06,2020-12-03,12,https://github.com/apache/ZetaComponents
Subversion,5718451.961394156,8167,1201,2009-12-31 09:00:10,893,167,0,8,False,-22,289,64,0,85,-1,39458,85461,1628,80323,0.015270894424718238,35.2,22,4,122,24,16.803780023625148,289,2009-12-31,2023-05-31,12,https://github.com/apache/Subversion
Wicket,2088415.405652098,26373,1749,2009-05-21 01:51:51,40,373,1,5,False,7,1655,139,2809,27024,83,47632,21890,406,33504,0.03287875957407062,71.75,38,1,8,16,4.202775073028238,203,2009-05-21,2023-06-16,12,https://github.com/apache/Wicket
Spark,455249762.2437657,181981,98816,2014-02-25 08:00:08,-223,26996,-432,2,False,38,12175,2527,0,345,-1,7158,24334,6366,46482,0.034318108398203435,121.59,0,30,64,145,10.331067237846899,528,2014-02-25,2023-07-06,12,https://github.com/apache/Spark
Any23,13348221.226230945,2272,246,2012-06-04 07:00:25,147,60,6,2,False,-3,123,38,231,81796,73794,34349,11696,168,1952,0.004649651276154288,83.04,24,1,1,2,3.243721433135106,159,2012-06-04,2023-05-24,12,https://github.com/apache/Any23
Apex-core,1396136.5372975792,3937,884,2015-08-25 07:00:05,262,184,-168,3,True,-25,160,69,3,14084,12149,39660,80363,318,5979,0.018842439386776523,49.36,29,5,8,25,7.6053967967787495,533,2015-08-25,2021-04-09,12,https://github.com/apache/Apex-core
Atlas,4158983.479279016,9391,3908,2017-07-22 07:00:08,270,786,-1,4,False,-10,597,147,248,8742,-1,35938,32839,965,5186,0.04326429239425391,24.76,0,9,19,45,47.00802276797762,316,2017-07-22,2023-05-17,12,https://github.com/apache/Atlas
Bigtop,2162468.8394475128,23269,1457,2011-08-04 16:09:56,169,459,5,6,False,4,711,219,663,41435,5758,60410,33827,398,3619,0.04092846609159411,93.43,28,5,3,18,19.631948339371522,335,2011-08-04,2023-05-22,12,https://github.com/apache/Bigtop
incubator-retired-cmda,811719.8195,0,6,2019-01-25 14:12:13,0,4,PRs missing,1,False,0,Commits or Issues or PRs missing,0,0,PRs missing,PRs missing,PRs missing,PRs missing,8,194,4.965325477085023e-05,3.6,0,11,11,20,83.8036014166237,696,2019-01-25,2016-10-06,12,https://github.com/apache/incubator-retired-cmda
Celix,7738779.403272217,1024,356,2014-08-09 07:00:07,-216,78,14,2,False,6,68,35,529,3557,47614,58955,7540,1440,2143,0.017193336100077075,9.57,27,1,8,25,12.121936791229814,194,2014-08-09,2023-05-24,12,https://github.com/apache/Celix
incubator-CommonsRDF,3116378.3989677425,816,107,2015-03-19 07:00:05,141,41,-11,1,False,-2,51,20,0,62978,-1,77542,32846,224,1260,0.006564551422319475,69.86,2,0,0,0,5.129650507328072,91,2015-03-19,2023-05-26,12,https://github.com/apache/incubator-CommonsRDF
DataSketches,5524025.4081,49,144,2019-05-08 19:29:09,7,10,1,1,True,-1,15,1,0,-1,-1,-1,376,509,112,3.560112499554986e-05,0.0,0,0,0,0,0.0,0,2019-05-08,2023-01-24,12,https://github.com/apache/DataSketches
Daffodil,19281900.17092821,4535,237,2017-08-29 07:00:10,-81,69,35,3,False,6,100,40,0,63893,48250,37380,32303,147,3735,0.008829577968526466,74.32,35,3,12,10,9.419946262051525,682,2017-08-29,2023-05-27,12,https://github.com/apache/Daffodil
Curator,6443911.003297596,3861,7122,2014-03-03 08:00:07,57,1210,-6,2,False,0,538,128,1075,79084,3771,6178,571,297,2726,0.037317049529902106,91.94,13,0,1,0,7.614466862389905,99,2014-03-03,2023-05-23,12,https://github.com/apache/Curator
ECharts,6195594.72215284,63718,130120,2013-04-03 03:18:59,-24,19478,-5,2,False,15,4526,237,3217,81107,50416,24520,55864,348,9014,0.014282575258185014,140.7,32,1,4,78,13.939494595906687,211,2013-04-03,2023-06-01,12,https://github.com/apache/ECharts
Flume,11720218.29624296,16059,6412,2011-08-12 18:20:14,214,1570,4,4,False,2,1103,94,178,1796,-1,61857,79841,37,2792,0.03759481633826489,102.52,46,0,1,8,8.564505934405506,185,2011-08-12,2023-05-29,12,https://github.com/apache/Flume
Fluo,8056326.837037037,1460,438,2013-06-19 20:14:05,61,78,0,2,False,2,42,34,86,22892,41118,43882,42301,203,881,0.013783903957314362,52.38,15,0,2,2,17.636709128017454,140,2013-06-19,2023-04-10,12,https://github.com/apache/Fluo
Felix,3762452.1689704056,21066,889,2009-05-20 02:00:07,1110,327,0,2,False,-15,1230,48,0,20498,-1,53855,26598,2303,35027,0.03781825708962948,0.0,0,0,0,0,NaN,0,2009-05-20,2023-05-30,12,https://github.com/apache/Felix
Griffin,3503511.7122417563,1139,2664,2017-02-15 08:00:06,41,590,-17,5,False,-5,213,78,545,84307,49903,41911,68123,234,860,0.004129023150762281,25.33,5,0,1,1,19.287151480310435,102,2017-02-15,2023-05-23,12,https://github.com/apache/Griffin
HAWQ,1500340.8587483051,8740,1709,2015-09-05 07:00:05,142,329,-141,1,False,-26,310,114,94,67859,17846,23629,58494,211,2720,0.005017317130554203,16.9,0,31,199,227,16.586358342570897,651,2015-09-05,2023-02-04,12,https://github.com/apache/HAWQ
Groovy,10377773.150939537,14860,11548,2015-04-16 07:00:05,133,1816,-48,4,False,-24,1394,305,9628,20196,-1,45164,2070,748,36188,0.033530089598570186,86.97,0,9,28,38,6.2783011721665165,340,2015-04-16,2023-05-30,12,https://github.com/apache/Groovy
Cassandra,3169511.3339063157,146382,19387,2009-05-21 02:10:09,37,3395,163,10,False,34,4810,539,652,22079,79959,31229,12245,15151,14549,0.02532155149856082,82.17,12,4,31,43,5.226454199510736,418,2009-05-21,2023-05-27,12,https://github.com/apache/Cassandra
Jena,3102441.0348856077,15325,2533,2013-01-04 08:00:32,183,619,18,1,False,6,570,114,42,83666,67535,47724,61917,1270,23076,0.002791509702596851,39.66,0,50,79,95,38.99566912891235,2861,2013-01-04,2023-06-01,12,https://github.com/apache/Jena
Kylin,3624899.947439059,26693,8521,2015-01-03 08:00:05,1044,1527,8,8,False,14,1324,334,3360,71261,24924,39162,39298,1312,10975,0.005209170897562544,15.91,28,2,8,22,10.69002650762094,289,2015-01-03,2023-05-15,12,https://github.com/apache/Kylin
logging-log4cxx,443668.0,54,545,2017-04-09 07:00:07,18,111,12,2,False,1,40,25,0,48296,-1,36775,28236,273,2190,0.0,41.15,24,1,1,5,5.207735018188781,263,2017-04-09,2023-05-21,12,https://github.com/apache/logging-log4cxx
incubator-retired-MRQL,346658.7300294118,165,50,2015-04-18 07:00:05,6,16,-5,1,True,-2,14,3,0,70806,-1,1907,78568,5,164,0.029641185647425898,11.46,16,0,0,3,16.78808307056649,140,2015-04-18,2017-08-22,12,https://github.com/apache/incubator-retired-MRQL
Nuvem,171898.90657142855,82,8,2010-08-12 03:32:41,27,4,2,2,True,-4,14,5,0,-1,-1,-1,-1,0,141,0.009828009828009828,24.59,8,0,0,0,24.067333939945406,37,2010-08-12,2023-04-14,12,https://github.com/apache/Nuvem
ManifoldCF,1538910.959460485,9240,214,2012-06-22 07:00:16,177,66,1,1,False,-4,249,16,0,64301,-1,1473,59156,1869,4510,0.0054820966743161035,8.04,0,41,48,219,35.801816191287145,817,2012-06-22,2023-05-29,12,https://github.com/apache/ManifoldCF
MyFaces,11756310.285152895,1612,271,2018-05-08 11:41:08,-28,67,1,2,False,2,128,36,1750,80542,50173,35355,50227,129,7894,0.03668610301263363,51.27,0,2,16,95,19.77668698419548,302,2018-05-08,2023-06-16,12,https://github.com/apache/MyFaces
creadur-rat,8192880.848571426,1347,65,2012-10-11 07:00:29,-4,33,2,2,False,2,117,16,0,72131,29796,47517,69979,191,1961,0.026026237833262803,76.56,4,0,0,1,1.7568101065929727,72,2012-10-11,2023-06-19,12,https://github.com/apache/creadur-rat
Rya,5349451.658825396,3444,292,2015-10-06 07:00:05,19,76,-9,5,True,-4,105,45,0,73688,-1,55387,43869,56,441,0.019549559849091118,69.83,34,1,1,13,14.092442701148471,251,2015-10-06,2023-04-16,12,https://github.com/apache/Rya
incubator-SAMOA,3646513.6635942035,609,594,2015-01-27 08:00:05,28,110,-19,1,True,-4,63,25,0,25716,-1,54974,12867,23,134,0.00611974859411181,9.25,34,0,1,3,15.03793352601156,118,2015-01-27,2023-04-16,12,https://github.com/apache/incubator-SAMOA
PLC4X,844333.4666666667,326,1953,2017-12-20 08:00:09,167,321,71,2,False,6,116,78,3600,26272,35784,43800,3040,305,7272,0.0005710106889193873,19.78,0,50,45,345,17.542163034506547,5637,2017-12-20,2023-06-02,12,https://github.com/apache/PLC4X
Shindig,2131112.2827931223,4331,204,2009-05-21 08:41:05,280,68,1,4,True,-11,306,34,0,46896,-1,32,77022,150,5223,0.053649407361197755,60.89,33,0,1,8,28.03985044138903,121,2009-05-21,2023-04-14,12,https://github.com/apache/Shindig
SINGA,1447566.0897435897,488,6656,2015-04-02 07:00:05,69,986,-11,6,False,2,109,84,59,80268,-1,71793,10640,508,2084,0.0,49.9,40,0,10,6,14.922139080692226,114,2015-04-02,2023-05-31,12,https://github.com/apache/SINGA
Syncope,4491365.598534142,7421,579,2014-10-23 07:00:10,1,163,20,1,False,3,177,47,367,27559,-1,11746,57729,37,12586,0.012798096766796606,20.95,12,5,2,68,17.664016529040996,459,2014-10-23,2023-07-06,12,https://github.com/apache/Syncope
Tika,2609499.194694863,25115,4166,2009-05-21 02:12:11,-254,702,13,1,False,5,1669,156,2527,41851,504,74259,60365,1488,7559,0.007736693013544443,46.08,0,6,9,26,11.034783440912813,301,2009-05-21,2023-07-05,12,https://github.com/apache/Tika
Sling,2635763.7410744173,41850,702,2009-03-27 15:41:54,1350,264,0,1,False,-6,804,54,0,67471,1066,58810,81086,3266,46606,0.05208357542938155,0.0,0,0,0,0,NaN,0,2009-03-27,2023-07-07,12,https://github.com/apache/Sling
Twill,4559486.354592591,940,202,2016-07-29 07:00:06,29,72,-7,1,False,-5,47,16,0,11409,-1,4155,25856,50,345,0.008817939946788294,35.73,4,0,0,0,1.7449995884434932,85,2016-07-29,2020-03-15,12,https://github.com/apache/Twill
Zipkin,5405578.9130434785,7332,35538,2012-06-06 18:26:16,210,3064,-97,1,False,-1,479,199,328,47998,50530,42563,14481,732,4031,0.002957373036916174,83.15,34,0,0,1,6.132627835364532,141,2012-06-06,2023-06-19,12,https://github.com/apache/Zipkin
Trafodion,5147353.154423019,13197,658,2015-05-27 07:00:05,364,162,-60,1,True,-58,305,186,205,899,-1,11933,74216,889,6423,0.02631017004394394,5.26,0,50,373,1187,28.4654536993564,4510,2015-05-27,2021-05-05,12,https://github.com/apache/Trafodion
incubator-retired-Concerted,217262.16511764706,55,28,2015-10-23 07:00:05,0,6,0,2,False,0,9,0,0,4344,-1,524,47918,17,24,0.05303030303030303,45.94,0,0,0,0,19.05805038335159,46,2015-10-23,2015-11-11,12,https://github.com/apache/incubator-retired-Concerted
DataFu,14155367.664884616,1078,275,2014-01-14 08:00:07,22,65,1,1,False,-6,98,33,0,9082,404,70324,13422,136,516,0.0013179571663920922,64.21,17,0,0,6,20.61705989110708,181,2014-01-14,2023-04-12,12,https://github.com/apache/DataFu
