project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,frequency (weeks),project_url,status
Groovy,10377773.150939537,14860,11548,9,133,1816,-48,4,False,-24,1394,305,9628,2070,748,36188,0.033530089598570186,86.97,0,9,28,38,6.2783011721665165,340,2015-04-16,2023-05-30,12,https://github.com/apache/Groovy,graduated
Cassandra,3169511.3339063157,146382,19387,15,37,3395,163,10,False,34,4810,539,652,12245,15151,14549,0.02532155149856082,82.17,12,4,31,43,5.226454199510736,418,2009-05-21,2023-05-27,12,https://github.com/apache/Cassandra,graduated
Jena,3102441.0348856077,15325,2533,11,183,619,18,1,False,6,570,114,42,61917,1270,23076,0.002791509702596851,39.66,0,50,79,95,38.99566912891235,2861,2013-01-04,2023-06-01,12,https://github.com/apache/Jena,graduated
Kylin,3624899.947439059,26693,8521,9,1044,1527,8,8,False,14,1324,334,3360,39298,1312,10975,0.005209170897562544,15.91,28,2,8,22,10.69002650762094,289,2015-01-03,2023-05-15,12,https://github.com/apache/Kylin,graduated
Nuvem,171898.90657142855,82,8,14,27,4,2,2,True,-4,14,5,0,-1,0,141,0.009828009828009828,24.59,8,0,0,0,24.067333939945406,37,2010-08-12,2023-04-14,12,https://github.com/apache/Nuvem,graduated
ManifoldCF,1538910.959460485,9240,214,12,177,66,1,1,False,-4,249,16,0,59156,1869,4510,0.0054820966743161035,8.04,0,41,48,219,35.801816191287145,817,2012-06-22,2023-05-29,12,https://github.com/apache/ManifoldCF,graduated
MyFaces,11756310.285152895,1612,271,6,-28,67,1,2,False,2,128,36,1750,50227,129,7894,0.03668610301263363,51.27,0,2,16,95,19.77668698419548,302,2018-05-08,2023-06-16,12,https://github.com/apache/MyFaces,graduated
Rya,5349451.658825396,3444,292,9,19,76,-9,5,True,-4,105,45,0,43869,56,441,0.019549559849091118,69.83,34,1,1,13,14.092442701148473,251,2015-10-06,2023-04-16,12,https://github.com/apache/Rya,graduated
PLC4X,844333.4666666667,326,1953,7,167,321,71,2,False,6,116,78,3600,3040,305,7272,0.0005710106889193873,19.78,0,50,45,345,17.542163034506547,5637,2017-12-20,2023-06-02,12,https://github.com/apache/PLC4X,graduated
Shindig,2131112.2827931223,4331,204,15,280,68,1,4,True,-11,306,34,0,77022,150,5223,0.053649407361197755,60.89,33,0,1,8,28.03985044138903,121,2009-05-21,2023-04-14,12,https://github.com/apache/Shindig,graduated
SINGA,1447566.0897435897,488,6656,9,69,986,-11,6,False,2,109,84,59,10640,508,2084,0.0,49.9,40,0,10,6,14.922139080692226,114,2015-04-02,2023-05-31,12,https://github.com/apache/SINGA,graduated
Syncope,4491365.598534142,7421,579,10,1,163,20,1,False,3,177,47,367,57729,37,12586,0.012798096766796606,20.95,12,5,2,68,17.664016529040996,459,2014-10-23,2023-07-06,12,https://github.com/apache/Syncope,graduated
Tika,2609499.194694863,25115,4166,15,-254,702,13,1,False,5,1669,156,2527,60365,1488,7559,0.007736693013544443,46.08,0,6,9,26,11.034783440912811,301,2009-05-21,2023-07-05,12,https://github.com/apache/Tika,graduated
Sling,2635763.7410744173,41850,702,15,1350,264,0,1,False,-6,804,54,0,81086,3266,46606,0.05208357542938155,0.0,0,0,0,0,,0,2009-03-27,2023-07-07,12,https://github.com/apache/Sling,graduated
Twill,4559486.354592591,940,202,8,29,72,-7,1,False,-5,47,16,0,25856,50,345,0.008817939946788294,35.73,4,0,0,0,1.7449995884434932,85,2016-07-29,2020-03-15,12,https://github.com/apache/Twill,graduated
Trafodion,5147353.154423019,13197,658,9,364,162,-60,1,True,-58,305,186,205,74216,889,6423,0.02631017004394394,5.26,0,50,373,1187,28.4654536993564,4510,2015-05-27,2021-05-05,12,https://github.com/apache/Trafodion,graduated
DataFu,14155367.664884616,1078,275,10,22,65,1,1,False,-6,98,33,0,13422,136,516,0.0013179571663920922,64.21,17,0,0,6,20.61705989110708,181,2014-01-14,2023-04-12,12,https://github.com/apache/DataFu,graduated
Cayenne,6469149.897002547,4217,701,15,-54,127,10,1,False,1,288,63,0,76001,2019,6387,0.015230478438056529,67.83,0,7,5,27,11.993055436771977,1258,2009-05-21,2023-05-23,12,https://github.com/apache/Cayenne,graduated
ActiveMQ,12153225.602677926,26585,5673,15,76,1377,25,4,False,-3,2818,160,1180,74747,220,13769,0.08365180467091295,106.73,17,4,12,41,28.33157768888257,235,2009-05-21,2023-05-22,12,https://github.com/apache/ActiveMQ,graduated
Gora,8533466.21479239,2707,337,10,50,117,8,5,False,-7,163,55,146,48323,386,1223,0.01793986355596732,32.45,33,0,0,5,14.398746572659617,185,2014-05-19,2023-04-20,12,https://github.com/apache/Gora,graduated
Fineract,9456660.515387656,6642,3134,9,-64,1252,17,10,False,6,482,147,564,31848,537,6830,0.013996060368192656,21.47,0,8,25,94,19.404185082931686,491,2015-12-22,2023-05-30,12,https://github.com/apache/Fineract,graduated
Marmotta,3973982.483487847,1615,161,10,318,55,-1,2,False,-6,97,26,0,47530,220,2211,0.013849514337500582,19.08,29,1,2,17,17.31584083805853,193,2014-01-22,2021-02-23,12,https://github.com/apache/Marmotta,graduated
Mnemonic,2303207.7715053526,1844,290,8,46,66,-13,1,False,0,81,34,95,17137,117,585,0.04664723032069971,33.01,14,0,1,4,32.55459216441876,152,2016-03-29,2023-05-31,12,https://github.com/apache/Mnemonic,graduated
NPanday,14766849.694194756,1040,43,14,46,15,3,3,True,-2,62,7,0,71660,109,2020,0.015419091578031976,26.47,43,0,5,14,15.715368785876748,212,2010-09-18,2023-05-31,12,https://github.com/apache/NPanday,retired
OODT,7170435.904155253,2387,188,11,129,64,5,3,False,-9,129,52,223,64863,777,2135,0.0011474151044206138,24.07,45,0,11,13,34.5919090075827,167,2013-01-21,2023-04-17,12,https://github.com/apache/OODT,graduated
OpenNLP,13268994.84399815,4979,2896,13,51,424,3,2,False,5,302,65,134,69646,82,2838,0.022605736509479824,27.82,11,9,6,36,21.58898186629889,522,2011-11-09,2023-07-04,12,https://github.com/apache/OpenNLP,graduated
PredictionIO,Issues missing,Issues missing,27124,11,274,2014,1,5,False,-6,Commits or Issues or PRs missing,176,90,284,1492,3010,Issues missing,39.02,8,0,0,4,14.771927079258274,686,2013-01-25,2020-12-29,12,https://github.com/apache/PredictionIO,graduated
Samza,3140447.373548438,6855,1869,9,30,319,9,14,False,-13,454,192,432,20663,674,2271,0.04273109970589931,100.42,41,0,0,6,11.01897269782508,454,2015-03-14,2023-06-22,12,https://github.com/apache/Samza,graduated
Mesos,5230798.474435473,38668,11817,11,327,1695,-6,11,False,-7,1693,438,981,68822,2596,19314,0.011736344755723317,80.94,0,17,28,92,23.788211138930127,485,2013-07-17,2023-04-12,12,https://github.com/apache/Mesos,graduated
REEF,2778333.256623267,8774,292,10,52,104,-48,5,True,-8,202,89,492,51017,217,3741,0.012441023094114725,40.18,44,0,0,7,8.369390681882255,180,2014-10-23,2022-07-06,12,https://github.com/apache/REEF,graduated
Shiro,56551.0,4,10506,15,-335,2288,84,4,False,8,111,77,467,80761,117,3484,0.0,70.95,7,0,0,3,2.614704256495301,145,2009-08-29,2023-06-05,12,https://github.com/apache/Shiro,graduated
Ignite,494154.0303030303,136,10789,9,3357,1849,60,10,False,-7,529,426,2324,77033,2277,31307,0.0,81.77,0,17,45,116,9.08068122688343,465,2015-02-19,2023-07-05,12,https://github.com/apache/Ignite,graduated
Zeppelin,2010741.5684104343,35982,14905,9,56,2757,-65,5,False,-23,2571,526,207,54755,1259,5740,0.029530320693947718,35.94,19,3,8,27,23.24671055908045,455,2015-03-25,2023-06-19,12,https://github.com/apache/Zeppelin,graduated
SkyWalking,427666.6310336708,22645,50158,9,353,6228,19,4,False,16,1214,465,1086,74654,2861,4951,0.005518127166667657,53.27,48,0,0,7,14.91085377442059,155,2015-11-07,2023-06-17,12,https://github.com/apache/SkyWalking,graduated
DolphinScheduler,625084.4359781349,26952,25234,5,532,3942,12,13,False,38,984,479,1701,63593,1398,8173,0.014375204048318642,26.5,38,1,8,42,18.900171357163703,562,2019-03-01,2023-07-05,12,https://github.com/apache/DolphinScheduler,graduated
