project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,frequency (weeks),project_url,status
Lenya,Issues missing,Issues missing,45,13,6,9,1,2,True,-2,Commits or Issues or PRs missing,4,0,2091,344,12522,Issues missing,8.72,26,0,0,2,27.470004443786102,248,2011-12-26,2023-04-17,12,https://github.com/apache/Lenya,graduated
Onami,798863.0274423077,0,25,5,0,3,PRs missing,1,False,0,Commits or Issues or PRs missing,0,0,PRs missing,6,1506,0.019476567255021303,108.46,6,0,0,2,5.4950577986262354,115,2019-01-25,2015-10-06,12,https://github.com/apache/Onami,graduated
Ode,7633592.074445862,2333,152,15,110,64,0,3,True,-7,163,22,0,61799,86,5571,0.03010295950874925,40.2,16,3,9,26,18.099303654748905,307,2009-05-21,2020-01-14,12,https://github.com/apache/Ode,graduated
Oozie,6501156.02723561,27552,1827,13,54,475,2,3,False,-1,701,41,0,74623,2628,550,0.0698857994041708,91.72,33,3,7,35,13.170370741985652,381,2011-09-14,2023-04-20,12,https://github.com/apache/Oozie,graduated
Lucene.NET,7379545.734388446,5216,4619,15,-2,627,43,1,False,1,320,90,4848,11618,694,7709,0.004782745501873623,54.48,0,32,40,195,14.782500204356449,1929,2009-03-27,2023-05-17,12,https://github.com/apache/Lucene.NET,graduated
Openmeetings,1515133.3272727274,249,1413,9,-36,255,2,1,False,2,41,22,0,26453,115,5843,1.2086490929088557e-05,6.61,43,0,3,16,23.9727596476248,303,2015-03-13,2023-05-24,12,https://github.com/apache/Openmeetings,graduated
OpenEJB,12168864.498799697,660,51,11,-1,27,11,2,False,1,71,0,0,17355,900,23326,0.005834795530294762,45.72,0,21,15,148,23.816161793923,343,2013-01-23,2023-04-18,12,https://github.com/apache/OpenEJB,graduated
OpenWebBeans,6652053.028015654,3316,168,13,121,58,2,2,False,0,185,28,78,60190,115,4278,0.03379591836734694,82.88,44,0,5,9,5.595082726392456,150,2011-01-28,2023-05-21,12,https://github.com/apache/OpenWebBeans,graduated
OpenJPA,5800253.009014613,7805,343,15,423,113,0,4,False,-8,647,43,0,17401,272,7224,0.04860500025881257,75.74,0,19,46,50,13.06292109169807,511,2009-05-21,2023-06-09,12,https://github.com/apache/OpenJPA,graduated
PhotArk,1275150.7811744187,208,26,14,39,6,1,1,True,-3,17,5,0,21040,3,411,0.011805998723675814,5.97,9,0,0,0,12.169826608329284,84,2010-08-12,2023-02-22,12,https://github.com/apache/PhotArk,retired
Pig,3172178.294230457,5347,1773,15,138,459,3,4,True,-5,170,41,0,4913,4627,1660,0.008740992314893432,74.65,0,11,18,64,15.19396460071615,495,2009-05-21,2023-05-19,12,https://github.com/apache/Pig,graduated
Pluto,10419532.48007692,618,21,15,-1,9,2,3,True,1,61,5,0,17654,54,2243,0.03271617227420532,17.17,17,0,0,4,13.57196589769308,134,2009-05-21,2023-04-17,12,https://github.com/apache/Pluto,graduated
Pivot,3156522.065824766,2023,99,13,67,29,PRs missing,3,False,-7,Commits or Issues or PRs missing,9,0,PRs missing,46,5119,0.00825102829979557,9.34,13,3,15,38,17.68072791673618,346,2011-08-18,2022-08-10,12,https://github.com/apache/Pivot,graduated
PDFBox,12208080.815552313,49405,4763,15,-60,743,2,3,False,0,2157,13,0,24927,274,17979,0.03971932471193068,18.69,22,2,15,51,18.055870997047467,339,2009-09-26,2023-07-02,12,https://github.com/apache/PDFBox,graduated
Rave,2451691.2257217956,326,43,10,4,13,0,3,False,-2,16,6,0,68270,41,1730,0.045754956786985254,62.78,19,2,1,1,15.676303134155106,60,2014-03-19,2017-05-05,12,https://github.com/apache/Rave,graduated
Roller,31519917.800408058,2324,349,15,21,119,2,2,False,0,115,30,199,63493,319,4803,0.004516492997942523,11.42,36,2,0,16,13.687810805337412,304,2009-05-21,2023-04-26,12,https://github.com/apache/Roller,graduated
Sanselan,Issues missing,Issues missing,91,15,19,17,1,1,True,-3,Commits or Issues or PRs missing,7,0,66727,37,291,Issues missing,15.57,31,0,0,19,10.477158153894251,194,2009-05-21,2023-04-14,12,https://github.com/apache/Sanselan,graduated
Sentry,2891828.7415288896,8625,323,8,93,89,0,7,False,-10,162,26,0,31901,55,1694,0.10043420804228809,113.42,41,1,3,5,25.59022997297436,158,2016-03-26,2021-01-20,12,https://github.com/apache/Sentry,graduated
ServiceMix,9539576.892152525,6137,451,10,134,159,-16,2,True,-6,247,21,18,9395,33,939,0.25401010766864424,21.12,0,0,1,0,30.49464558898521,32,2014-03-28,2023-07-02,12,https://github.com/apache/ServiceMix,graduated
Ranger,2793392.8088539923,13258,2334,10,52,828,13,7,False,16,863,162,2,52903,211,5842,0.02533570500354829,13.98,0,26,57,140,27.32601918380848,454,2014-07-27,2023-07-06,12,https://github.com/apache/Ranger,graduated
Phoenix,2467031.696921266,45734,2952,10,347,986,0,4,False,-2,1085,207,1365,27696,157,14211,0.04305345936929065,17.27,0,14,52,194,19.21583250359992,1104,2014-06-04,2023-06-02,12,https://github.com/apache/Phoenix,graduated
OFBiz,5252098.81290145,51075,2074,15,1372,566,0,3,False,-17,896,43,0,69591,232,31770,0.005044068404018232,2.34,0,48,105,243,17.533314811798856,753,2009-05-20,2022-01-10,12,https://github.com/apache/OFBiz,graduated
Sirona,137932.09630188678,199,270,11,215,54,2,1,True,-3,21,7,0,13356,82,826,0.0040941658137154556,15.41,33,1,6,7,3.6090089546838726,154,2013-10-24,2023-05-22,12,https://github.com/apache/Sirona,retired
Qpid,7851327.313252764,30586,338,15,1195,86,0,1,True,-17,579,46,0,26908,2838,35301,0.0238118496397289,76.21,24,2,2,12,7.471264367816092,244,2009-05-21,2023-07-07,12,https://github.com/apache/Qpid,graduated
SIS,26011868.239548743,989,210,11,247,44,0,1,False,1,73,18,0,4324,318,8159,0.0013768808067777267,33.72,0,12,6,55,3.261115255080129,330,2013-06-11,2023-06-13,12,https://github.com/apache/SIS,graduated
stdcxx,6043082.293008385,190,141,15,23,27,PRs missing,1,False,-2,Commits or Issues or PRs missing,5,0,PRs missing,39,2914,0.050818598559266535,85.06,36,3,10,16,15.275858512942149,356,2009-03-27,2013-06-13,12,https://github.com/apache/stdcxx,graduated
Sqoop,3420640.9166456223,18961,2464,13,50,590,0,4,True,-5,823,46,119,75587,309,1977,0.08361275214221087,97.11,30,0,6,16,10.565992220245452,191,2011-08-04,2021-07-05,12,https://github.com/apache/Sqoop,graduated
Stanbol,3390509.830874685,4168,299,14,281,75,4,4,True,-12,168,24,0,6938,681,6283,0.006625616650462713,27.71,0,10,6,55,21.43555862024728,403,2010-12-11,2023-04-14,12,https://github.com/apache/Stanbol,graduated
Streams,12481677.494333964,2638,193,10,215,47,-36,1,False,-7,55,30,859,81634,225,1778,0.0011888437818741852,27.54,35,0,2,1,32.0151723024776,112,2014-03-18,2023-04-15,12,https://github.com/apache/Streams,graduated
Stratos,2242744.1498368895,2413,432,10,181,118,-16,5,False,-23,141,67,0,73520,524,9120,0.011395504117516136,4.07,0,3,37,107,61.64469693279786,438,2014-06-03,2018-07-29,12,https://github.com/apache/Stratos,graduated
Synapse,3635608.035487715,2484,157,15,346,53,7,4,False,-9,185,43,117,72395,347,13258,0.01423833738669025,18.62,0,8,1,44,12.55453081540038,297,2009-05-21,2023-05-14,12,https://github.com/apache/Synapse,graduated
Tajo,1999797.9251477828,14272,376,10,229,112,-37,1,True,-5,98,36,1019,5507,625,2306,0.027391460117903787,31.22,0,19,17,50,10.729253981559095,427,2014-03-21,2021-03-18,12,https://github.com/apache/Tajo,graduated
Tashi,17145295.379666667,13,30,12,65,10,0,2,False,-1,7,2,0,-1,6,557,0.010778443113772455,0.0,3,1,0,2,12.309175638759442,594,2012-07-11,2014-01-20,12,https://github.com/apache/Tashi,retired
SpamAssassin,Issues missing,Issues missing,550,15,387,64,0,4,False,-2,Commits or Issues or PRs missing,17,0,66337,403,39550,Issues missing,0.09,0,13,14,81,16.64227880206809,1556,2009-05-20,2023-06-01,12,https://github.com/apache/SpamAssassin,graduated
