project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,frequency (weeks),project_url
ManifoldCF,1538910.959460485,9240,214,12,177,66,1,1,False,-4,249,16,0,59156,1869,4510,0.0054820966743161035,8.04,0,41,48,219,35.801816191287145,817,2012-06-22,2023-05-29,12,https://github.com/apache/ManifoldCF
MyFaces,11756310.285152895,1612,271,6,-28,67,1,2,False,2,128,36,1750,50227,129,7894,0.03668610301263363,51.27,0,2,16,95,19.77668698419548,302,2018-05-08,2023-06-16,12,https://github.com/apache/MyFaces
creadur-rat,8192880.848571426,1347,65,12,-4,33,2,2,False,2,117,16,0,69979,191,1961,0.026026237833262803,76.56,4,0,0,1,1.7568101065929729,72,2012-10-11,2023-06-19,12,https://github.com/apache/creadur-rat
Rya,5349451.658825396,3444,292,9,19,76,-9,5,True,-4,105,45,0,43869,56,441,0.019549559849091118,69.83,34,1,1,13,14.092442701148473,251,2015-10-06,2023-04-16,12,https://github.com/apache/Rya
incubator-SAMOA,3646513.6635942035,609,594,9,28,110,-19,1,True,-4,63,25,0,12867,23,134,0.00611974859411181,9.25,34,0,1,3,15.03793352601156,118,2015-01-27,2023-04-16,12,https://github.com/apache/incubator-SAMOA
PLC4X,844333.4666666667,326,1953,7,167,321,71,2,False,6,116,78,3600,3040,305,7272,0.0005710106889193873,19.78,0,50,45,345,17.542163034506547,5637,2017-12-20,2023-06-02,12,https://github.com/apache/PLC4X
Shindig,2131112.2827931223,4331,204,15,280,68,1,4,True,-11,306,34,0,77022,150,5223,0.053649407361197755,60.89,33,0,1,8,28.03985044138903,121,2009-05-21,2023-04-14,12,https://github.com/apache/Shindig
SINGA,1447566.0897435897,488,6656,9,69,986,-11,6,False,2,109,84,59,10640,508,2084,0.0,49.9,40,0,10,6,14.922139080692226,114,2015-04-02,2023-05-31,12,https://github.com/apache/SINGA
Syncope,4491365.598534142,7421,579,10,1,163,20,1,False,3,177,47,367,57729,37,12586,0.012798096766796606,20.95,12,5,2,68,17.664016529040996,459,2014-10-23,2023-07-06,12,https://github.com/apache/Syncope
Tika,2609499.194694863,25115,4166,15,-254,702,13,1,False,5,1669,156,2527,60365,1488,7559,0.007736693013544443,46.08,0,6,9,26,11.034783440912811,301,2009-05-21,2023-07-05,12,https://github.com/apache/Tika
Sling,2635763.7410744173,41850,702,15,1350,264,0,1,False,-6,804,54,0,81086,3266,46606,0.05208357542938155,0.0,0,0,0,0,,0,2009-03-27,2023-07-07,12,https://github.com/apache/Sling
Twill,4559486.354592591,940,202,8,29,72,-7,1,False,-5,47,16,0,25856,50,345,0.008817939946788294,35.73,4,0,0,0,1.7449995884434932,85,2016-07-29,2020-03-15,12,https://github.com/apache/Twill
Zipkin,5405578.9130434785,7332,35538,12,210,3064,-97,1,False,-1,479,199,328,14481,732,4031,0.002957373036916174,83.15,34,0,0,1,6.132627835364532,141,2012-06-06,2023-06-19,12,https://github.com/apache/Zipkin
Trafodion,5147353.154423019,13197,658,9,364,162,-60,1,True,-58,305,186,205,74216,889,6423,0.02631017004394394,5.26,0,50,373,1187,28.4654536993564,4510,2015-05-27,2021-05-05,12,https://github.com/apache/Trafodion
incubator-retired-Concerted,217262.16511764706,55,28,9,0,6,0,2,False,0,9,0,0,47918,17,24,0.05303030303030303,45.94,0,0,0,0,19.05805038335159,46,2015-10-23,2015-11-11,12,https://github.com/apache/incubator-retired-Concerted
DataFu,14155367.664884616,1078,275,10,22,65,1,1,False,-6,98,33,0,13422,136,516,0.0013179571663920922,64.21,17,0,0,6,20.61705989110708,181,2014-01-14,2023-04-12,12,https://github.com/apache/DataFu
Cayenne,6469149.897002547,4217,701,15,-54,127,10,1,False,1,288,63,0,76001,2019,6387,0.015230478438056529,67.83,0,7,5,27,11.993055436771977,1258,2009-05-21,2023-05-23,12,https://github.com/apache/Cayenne
ActiveMQ,12153225.602677926,26585,5673,15,76,1377,25,4,False,-3,2818,160,1180,74747,220,13769,0.08365180467091295,106.73,17,4,12,41,28.33157768888257,235,2009-05-21,2023-05-22,12,https://github.com/apache/ActiveMQ
Gora,8533466.21479239,2707,337,10,50,117,8,5,False,-7,163,55,146,48323,386,1223,0.01793986355596732,32.45,33,0,0,5,14.398746572659617,185,2014-05-19,2023-04-20,12,https://github.com/apache/Gora
Fineract,9456660.515387656,6642,3134,9,-64,1252,17,10,False,6,482,147,564,31848,537,6830,0.013996060368192656,21.47,0,8,25,94,19.404185082931686,491,2015-12-22,2023-05-30,12,https://github.com/apache/Fineract
Marmotta,3973982.483487847,1615,161,10,318,55,-1,2,False,-6,97,26,0,47530,220,2211,0.013849514337500582,19.08,29,1,2,17,17.31584083805853,193,2014-01-22,2021-02-23,12,https://github.com/apache/Marmotta
